Material_ID,mean,std,cv,Category,Seasonality_Type,quadrant,kmeans_cluster
MAT001,38.74344935471255,7.400083078475912,0.19100217460570026,FMCG,None,High demand / low variability,0
MAT002,33.128275322643724,6.467443618146329,0.19522427760450675,FMCG,None,High demand / high variability,0
MAT003,44.23973406335549,8.58438830790847,0.19404249346559843,FMCG,None,High demand / low variability,3
MAT004,49.89792725850606,9.697061632745278,0.19433796483184035,FMCG,None,High demand / low variability,3
MAT005,55.67070786077434,10.863766138767422,0.19514330886426626,FMCG,None,High demand / low variability,3
MAT006,33.14313648807196,6.427445432738551,0.19392990868718038,FMCG,None,High demand / low variability,0
MAT007,27.610481032459916,5.240836667767834,0.1898133053751041,FMCG,None,High demand / low variability,0
MAT008,67.02502933124755,12.801579490447066,0.19099699945194767,FMCG,None,High demand / low variability,3
MAT009,39.02190066484161,7.474441939138515,0.1915447943793502,FMCG,None,High demand / low variability,0
MAT010,30.89518967540086,5.88145512695708,0.19036798895719254,FMCG,None,High demand / low variability,0
MAT011,44.207665232694566,8.315490987338064,0.18810065954779703,Grocery,None,High demand / low variability,3
MAT012,33.07626124364489,6.31626465260695,0.1909606592498578,Grocery,None,High demand / low variability,0
MAT013,27.565506452874462,5.197969601389875,0.1885678977194284,Grocery,None,High demand / low variability,0
MAT014,21.88384825967931,4.231768542502076,0.19337405799413493,Grocery,None,Low demand / low variability,2
MAT015,19.67774736018772,3.7922612815909638,0.1927182625214265,Grocery,None,Low demand / low variability,2
MAT016,24.174032068830662,4.678035938127,0.19351492232686873,Grocery,None,High demand / low variability,0
MAT017,16.327336722721938,3.2536857133227333,0.19927841071561544,Grocery,None,Low demand / high variability,2
MAT018,12.935080172076653,2.538685298962691,0.19626359212237646,Grocery,None,Low demand / high variability,2
MAT019,33.11849824012515,6.531286658237145,0.19720962619990057,Grocery,None,High demand / high variability,0
MAT020,38.77121626906531,7.413274307714867,0.19120561646217307,Grocery,None,High demand / low variability,0
MAT021,55.65350019554165,10.769766577484825,0.1935146314184131,Perishable,None,High demand / low variability,3
MAT022,50.128275322643724,9.707375946550817,0.19365070679313484,Perishable,None,High demand / low variability,3
MAT023,44.40711771607352,8.472527417264219,0.19079210390179227,Perishable,None,High demand / low variability,3
MAT024,42.04380132968322,8.094441915665705,0.19252402636464205,Perishable,None,High demand / low variability,3
MAT025,33.156824403597966,6.340375175080842,0.1912238366950734,Perishable,None,High demand / low variability,0
MAT026,27.59757528353539,5.330945216755883,0.1931671591430101,Household,None,High demand / low variability,0
MAT027,21.92686742276105,4.23716529314845,0.19324079502346453,Household,None,Low demand / low variability,2
MAT028,19.7211576065702,3.8498920464045367,0.19521633177972914,Household,None,Low demand / high variability,2
MAT029,12.97575283535393,2.565304854552126,0.19769988586424506,Household,None,Low demand / high variability,2
MAT030,16.31990614000782,3.1661302225060206,0.19400419312120526,Household,None,Low demand / low variability,2
MAT031,12.972233085647243,2.5645827578502223,0.19769786288281635,Electronics,None,Low demand / high variability,2
MAT032,16.360969886585842,3.2008792313900507,0.19564116635985085,Electronics,None,Low demand / high variability,2
MAT033,10.741102854908096,2.1595776127639668,0.20105734410476836,Electronics,None,Low demand / high variability,2
MAT034,8.484943292921391,1.70618298383441,0.20108360479648724,Electronics,None,Low demand / high variability,2
MAT035,10.682049276495894,2.145755542305817,0.20087489645148912,Electronics,None,Low demand / high variability,2
MAT036,23.548298787641766,5.179685441735168,0.21996006966131607,Apparel,Summer,High demand / high variability,0
MAT037,21.142354321470474,4.559302474714834,0.21564781317115536,Apparel,Summer,Low demand / high variability,2
MAT038,16.330074305827143,3.243231623520519,0.19860482951772118,Apparel,None,Low demand / high variability,2
MAT039,11.509581540868204,2.5201081195793207,0.21895740610819991,Apparel,Summer,Low demand / high variability,2
MAT040,13.949941337504889,3.0421910919187596,0.21807913154012526,Apparel,Summer,Low demand / high variability,2
MAT041,5.768478685960109,3.0230556020293475,0.5240646219924774,Seasonal,Holiday,Low demand / high variability,1
MAT042,9.544387954634336,4.834920087893697,0.506572041169604,Seasonal,Holiday,Low demand / high variability,1
MAT043,23.889323425889714,6.56398859052632,0.27476661743432595,Seasonal,School,High demand / high variability,0
MAT044,30.005475166210402,8.102577966168393,0.2700366490210701,Seasonal,School,High demand / high variability,0
MAT045,11.550645287446226,2.5481813634556123,0.22060943783158965,Seasonal,Summer,Low demand / high variability,2
MAT046,8.480250293312476,1.7370415191823054,0.20483375597441222,Toys,None,Low demand / high variability,2
MAT047,6.221744231521314,1.2978360195409608,0.20859681324823914,Toys,None,Low demand / high variability,2
MAT048,10.676965193586234,2.0834669675358617,0.19513662635028747,Toys,None,Low demand / low variability,2
MAT049,16.28275322643723,3.20544391060581,0.19686129649139084,Misc,None,Low demand / high variability,2
MAT050,14.240516229956981,3.1509420877146583,0.22126600165562796,Misc,Rainy,Low demand / high variability,2
